[[[0.04773863708623926], [0.10305521920638369], [0.1146892725553546], [0.1493159676950495], [0.08308572154436898], [0.1034585762609715], [0.014301330836905254], [0.06679324543909168], [0.11806463802220968], [0.14416697305212856], [0.08873054923737549], [0.18225422092793175], [0.17040996905796374], [0.0975739003290076], [0.0034598799530484725], [0.028897344967760488], [0.06888564693490348], [0.14463364431696676], [0.1124108915113507], [0.016230087351087497], [0.09084936684519351], [0.16453445498252464], [0.0850078125078939], [0.07000121530897335], [0.18218496410072466], [0.10213638147193392], [0.0808337160485568], [0.11400668635313116], [0.10068658905496355], [0.08283430887059626], [0.14833825314207855], [0.14462807211137946], [0.13363446232564416], [0.0958845112970585], [0.14587601505597933], [0.09801189683365297], [0.11866573068915365], [0.14134747471758005], [0.1323537744106273], [0.17159018732825088]], '|', 4, 0.0, 0.0, 0]
[[[0.11805136064160685], [0.0326376005652705], [0.053593195800708954], [0.15400427274726905], [0.08674867320269487], [0.11546156580532366], [0.06594177373876692], [0.14003525694721206], [0.08460671004668839], [0.1583243295443808], [0.0787106391640729], [0.14472533586870784], [0.12697584419283475], [0.07110432378343397], [0.1439598533098872], [0.06393462038096008], [0.06710131244382993], [0.12886845168450772], [0.07498631994136049], [0.07624627730981962], [0.0862439716315843], [0.059993232405099364], [0.1417997763869559], [0.124340587939394], [0.09722685213238069], [0.09566431731305841], [0.11800622051068717], [0.1706134040207629], [0.1348387921012897], [0.07966171462898397], [0.13109676820995453], [0.09524915311587644], [0.09204007264785102], [0.17465885500608502], [0.08324248409287507], [0.08083260339490377], [0.021915788510190687], [0.04390683418187452], [0.11804491754938395], [0.07220316395259044]], '|', 4, 1.0, 0.04113592506493262, 1]
[[[0.12061655207132965], [0.055405157905362525], [0.0693076069467306], [0.12698282827824015], [0.15843569521852313], [0.1236989120569608], [0.14791323366885006], [0.16818376685489628], [0.14160356612616382], [0.06326239846799896], [0.09578621149969832], [0.12520782682739645], [0.08340612394847058], [0.11807784149284893], [0.03683374858422138], [0.06685488084574376], [0.12115518982340698], [0.010516539555501164], [0.0556914999086179], [0.09929126728359432], [0.031224221015219072], [0.1022848398432837], [0.06801810037232961], [0.08833621617996669], [0.0896406858639787], [0.10757172790234631], [0.0774484506167079], [0.10358745629290361], [0.07595372797402467], [0.12224294040309541], [0.16775236453152326], [0.10787479117001167], [0.10679477021390288], [0.05343968115355191], [0.1277346490264154], [0.06967730685775071], [0.06764611214111485], [0.12229757811432135], [0.10724154977431484], [0.1442870180379625]], '|', 4, 0.0, 0.0, 0]
[[[0.1577150771398524], [0.07841273751190031], [0.10513507960623777], [0.1704166073430129], [0.1386615700091623], [0.12852196201213079], [0.15224824260541797], [0.07581588123342496], [0.12546333637658524], [0.15637013557456034], [0.16483649142486992], [0.06775260730471103], [0.08993303169474302], [0.11530860694897456], [0.08844010627960737], [0.08432735040767807], [0.12736005312727813], [0.08586360068531942], [0.028483484352011368], [0.11447389263358274], [0.08302028837716291], [0.07073876073078667], [0.03737047397376378], [0.14055289867886822], [0.010915494725999411], [0.03202665581110817], [0.08896615749755427], [0.1491582234260279], [0.15238823622730616], [0.053800694602825425], [0.09289471216065796], [0.03958174499649724], [0.14044828255099634], [0.04093749357919278], [0.0942721701997105], [0.14131935115799005], [0.09110343885880366], [0.15880641375302962], [0.06519967107236592], [0.11476761878187496]], '|', 1, 0.0015714285714285715, 1.3970000000000002, 0]
[[[0.13413128743294933], [0.0944115307823571], [0.1554525705698528], [0.12192518338752772], [0.03450201627966633], [0.25834410816151854], [0.1259457457636267], [0.1042937317529436], [0.04404748725334094], [0.10327071275222466], [0.08160228676637252], [0.1257741466412129], [0.11486681164847462], [0.1741203794027752], [0.10569005490105272], [0.12054021919954191], [0.1148982740604577], [0.09406040787762426], [0.09266399210719904], [0.14404000810673928], [0.1312010854135452], [0.07482233583784881], [0.055462555881080386], [0.09730359900212583], [0.14645759926697577], [0.09889882454928088], [0.16985740356911894], [0.0689971885170626], [0.10566562150663221], [-0.0006521544386299816], [0.0761732847635884], [0.08763514725432552], [0.12043751097968358], [0.16842647354684542], [0.10139774357454961], [0.15815670326435272], [0.12646724305863932], [0.13945408720848257], [0.08135380572696288], [0.15539965374594555]], '|', 0, 0.0015714285714285715, 1.3960000000000001, 0]
[[[0.0570814288515342], [0.11980634444801266], [0.06191751597174964], [0.07927417790404981], [0.04154385581111575], [0.07934608365415911], [0.11404467586043862], [0.09724918147685446], [0.046089402349853446], [0.15882959426765478], [0.11348883753233835], [0.14032261732303053], [0.13140907678538755], [0.07340528932131146], [0.02219812165551842], [0.06338302527073175], [0.14900623397092924], [0.057858157051987394], [0.13264174737296244], [0.07550372107484705], [0.11572436979415934], [0.027043205894992234], [0.1466830066399986], [0.09841325199638072], [0.1354330319586363], [0.10759446597532384], [0.13192255181195772], [0.095922718429456], [0.1297342617405545], [0.03961709263103826], [0.05677157230217973], [0.12901896017926143], [0.09843286975162013], [0.0908498331511915], [0.09281550821394569], [0.12006900437380663], [0.07626624983030324], [0.12041230386981025], [0.06336832603725283], [0.08370991827920138]], '|', 3, 0.0, 0.0, 0]
[[[0.13939806686876846], [0.14285009711383564], [0.05611382558978551], [0.1335453898891351], [0.05843270711860388], [0.12932092926876315], [0.024047517627228204], [0.055315572302435494], [0.07964110888708555], [0.09334056180456163], [0.1569445771739595], [0.1361599669601411], [0.16301871634289525], [0.14826431592142275], [0.08868545793460622], [0.0893469246272512], [0.1427588648880505], [0.10161485724091357], [0.09372025310026728], [0.046591891079392336], [0.09574159513777841], [-0.011639856267753879], [0.08175529779405259], [0.06080438993352797], [0.12770297390157423], [0.08085310574337354], [0.08683793802635677], [0.15388421858681992], [0.058037290193255354], [0.11266635580626619], [0.02418932210094135], [0.10358916469778605], [0.11641062981587379], [0.1343948388718765], [0.06405267226725415], [0.11278627767778375], [0.11272616798714759], [0.09923073463609451], [0.10600065114911215], [0.11854137286926664]], '|', 4, 0.0, 0.0, 0]
[[[0.11591521699527406], [0.06015956443646401], [0.05216553958702072], [0.20023921141274692], [0.17679169145712353], [0.04433224495783865], [0.11800870968151383], [0.12509748331012444], [0.1300534894064194], [0.10561581745789402], [0.06292512243165502], [0.0927031837454761], [0.08035499448836728], [0.10537492464159018], [0.08926514783517694], [0.09473297494851927], [0.1407420989907153], [0.149222327998189], [0.052755873089127076], [0.08160279582261676], [0.06836800184899329], [0.14894888847840437], [0.09762528389806004], [0.15795957616632944], [0.08089676581373116], [0.10103999976742634], [0.046052142128110304], [0.15210142145944722], [0.08549551649690965], [0.04059374194698182], [0.07630154859386923], [0.007803682489194469], [0.09872731309204835], [0.10449950969656784], [0.11152312668020603], [0.15992432734308137], [0.08796095384178647], [0.13229823668021082], [0.11248954756052], [0.09226713438103985]], '|', 4, 0.0015714285714285715, 1.3930000000000002, 0]
[[[0.016927919123057827], [0.13790004669382705], [0.07984104203430731], [0.10071823566603307], [0.04918156894458081], [0.11131982135244008], [0.10432123269249383], [0.10117670475883063], [0.09460827482817107], [0.14196873163010273], [0.13864883450313367], [0.12903667410083286], [0.23284315024681462], [0.0759909867849074], [0.08481929937864482], [0.05940785236565316], [0.11743944785185641], [0.07250050427759303], [-0.007934469666641894], [0.05146647496685181], [0.1028900759662354], [0.14039149339790236], [0.03772233768539874], [0.07550231486862623], [0.09442592778196315], [0.07085850042301194], [0.12124655173824901], [0.10016003367901502], [0.11285063657935328], [0.07099140297018536], [0.16146145312084398], [0.09998499964966576], [0.15174198482653234], [0.0824400934533489], [0.12360157856643322], [0.07282464868011063], [0.06196362995796921], [0.07182598673906165], [0.0981653325572093], [0.09125066164129164]], '|', 4, 0.0015714285714285715, 1.3920000000000001, 0]
[[[0.16156828038620252], [0.05405183081452216], [0.05638646670180741], [0.16800752586582107], [0.12435134635632436], [0.0247435653133576], [0.1198907639458391], [0.10949330797358386], [0.014222238130861972], [0.08521750298650267], [0.09930180192655289], [0.12925610068500265], [0.1381798266619075], [0.1038298708444054], [0.1413380321305695], [0.09414906901554586], [0.06570012701040912], [0.06263272627408203], [0.12170581178265265], [0.021673236576039562], [0.12711230284479247], [0.05573707730432459], [0.08563103617157045], [0.12021527611011672], [0.1487176360320539], [0.02237276142540426], [0.06775287152186171], [0.10196246769492412], [0.07615654661649351], [0.13446492405364818], [0.016544377381738945], [0.11447206562284189], [0.11703680706011264], [0.10196321588566523], [0.1440894693034137], [0.05081702985814284], [0.14434467031958703], [0.07188318388359326], [0.12902202072314933], [0.08703183122059156]], '|', 2, 0.0, 0.0, 0]
